2022-23 Social Accounting Matrix for India,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,atoba,acott,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,ctoba,ccott,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,atax,dtax,mtax,stax,s-i,dstk,row,total
Activities - Business services,absrv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36127.10211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36127.10211
Activities - Public administration,apadm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19246.38396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19246.38396
Activities - Education,aeduc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13685.8835,,,,,,,,,,,,,,,,,,,,,,,,,,,,13685.8835
Activities - Health and social work,aheal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6807.839919,,,,,,,,,,,,,,,,,,,,,,,,,,,6807.839919
Activities - Other services,aosrv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642.588889,,,,,,,,,,,,,,,,,,,,,,,,,,5642.588889
Commodities - Maize,cmaiz,28.17452839,,,,,,,,,,,,,12.86897063,2.734209926,3.973523008,,0.821026981,,315.551505,,,,0.400937497,,,,,,,,,,,,,,,4.725488173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.155894014,13.47507353,384.8811572
Commodities - Rice,crice,,208.1017225,,,,,,,,,,,,,,,,,,1477.695938,1.385262278,1.551184778,,0.625963084,,,,,,,,,,110.9778367,,,,,361.9188249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.36070502,658.0063777,2862.623815
Commodities - Other cereals,cocer,,,140.596447,,,,,,,,,,,22.41238944,1.918435237,6.934210079,,0.576224047,,904.2026701,0.494172415,,,0.993816491,,,,,,,,,,203.9137332,,,,,382.4233098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.20947674,12.94980319,1714.624688
Commodities - Pulses,cpuls,,,,86.46945555,,,,,,,,,,81.55796063,,25.07264118,,,,473.0446442,,,,,,,,,,,,,181.0414662,,,,,,14.62020061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0495947,126.7798445,134.4696732,142.1957612,96.62708834,11.01259937,22.16803241,39.33703264,71.18400891,154.5412291,,,,,,,9.389408042,0.043916497,1776.604557
Commodities - Oilseeds,coils,,,,,249.814528,,,,,,,,,,,,,,,1970.889058,,1.939905228,,21.81121402,,,0.160959149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.52531643,104.7523974,133.4956875,154.3076244,113.5695157,7.340048347,18.25768581,35.80466378,74.79654357,181.6386939,,,,,,,4.561877352,117.3896145,3262.055333
